no	brand	chinese_name	english_name	item	effect	image
8593	PAUL_&_JOE	玩色防水眉筆		眉彩,	服貼,防水,	https://pic.pimg.tw/styleme/1472541386-222004958.png
8596	PAUL_&_JOE	玩色雙織眉粉		眉彩,	長效持妝,服貼,	https://pic.pimg.tw/styleme/1472541828-2728378049.jpg
8599	MAYBELLINE_媚比琳	新感覺極致濃密奢華精萃睫毛膏		睫毛膏,	抗暈染,根根分明,濃密,溫水可卸,	https://pic.pimg.tw/styleme/1472634793-1032991945.png
8602	M.A.C	彈力氣墊蜜粉		蜜粉,	修飾毛孔,薄透,	https://pic.pimg.tw/styleme/1472635695-3673270296.jpg
8605	M.A.C	完美潤澤修圖筆		遮瑕,	長效持妝,	https://pic.pimg.tw/styleme/1472638465-937539654.jpg
8611	banila_co.	花瓣水吻雙效唇釉	Two Kisses Dual Tint	唇彩唇蜜,	保濕,長效持妝,顯色,	https://pic.pimg.tw/styleme/1487508895-866989214.png
8614	LANEIGE_蘭芝	超時空彈力V型晚安緊膚膜		乳霜,	保濕,緊實,	https://pic.pimg.tw/styleme/1472697931-3892492032.jpg
8617	DKNY	怦然女性淡香精		女性香氛,		https://pic.pimg.tw/styleme/1472698531-936271053.jpg
8620	CHIC_CHOC_奇可俏可	小惡魔SPEEDY眼采		眼影,	服貼,珠光,好推勻,	https://pic.pimg.tw/styleme/1472699320-886009415.png
8623	too_cool_for_school	椰子保濕鎖水面膜		保養面膜,	保濕,	https://pic.pimg.tw/styleme/1472700267-2412295931.jpg
8626	Tommy_Hilfiger	The Girl女性淡香水		女性香氛,		https://pic.pimg.tw/styleme/1472701039-85228973.png
8629	GIVENCHY_紀梵希	黑幻天使淡香精		女性香氛,		https://pic.pimg.tw/styleme/1472701493-3143765653.jpg
8632	AYURA_東洋美學	美活沙醒膚陶瓷按摩板		保養工具,		https://pic.pimg.tw/styleme/1472702567-415561148.png
8635	BOBBI_BROWN_芭比布朗	百變倫敦眼頰盤		眼影,	色彩飽和,	https://pic.pimg.tw/styleme/1472703059-3437699880.jpg
8638	BOBBI_BROWN_芭比布朗	摩登紐約眼頰盤		眼影,	顯色,好上色,色彩飽和,	https://pic.pimg.tw/styleme/1472703876-4209510988.jpg
8641	BOBBI_BROWN_芭比布朗	優雅巴黎眼頰盤		眼影,	顯色,好上色,色彩飽和,	https://pic.pimg.tw/styleme/1472704574-1938697380.jpg
8644	Omorovicza	匈牙利皇后醒膚露		化妝水,	保濕,抗老,	https://pic.pimg.tw/styleme/1472709423-656939132.jpg
8647		絕對完美黑鑽珍珠安瓶面膜		保養面膜,	抗老,	https://pic.pimg.tw/styleme/1472710963-1944742617.jpg
8650	MAYBELLINE_媚比琳	Baby繽粉糖果頰彩		腮紅修容,	顯色,	https://pic.pimg.tw/styleme/1472712493-3398079765.jpg
8653	MAYBELLINE_媚比琳	明采亮眸筆		遮瑕,	薄透,打亮,	https://pic.pimg.tw/styleme/1472713050-1105798339.jpg
8656	DHC	純欖護唇膏	Lip Cream	唇部保養,	保濕,不黏膩,	https://pic.pimg.tw/styleme/1472798421-3492702086.png
8662	MAYBELLINE_媚比琳	絕翹雙效打底睫毛膏		睫毛膏,	根根分明,	https://pic.pimg.tw/styleme/1472803316-2054691262.jpg
8665	L’OREAL_PARIS_巴黎萊雅	純色訂製奢華唇釉	Color Riche Extraordinaire	唇彩唇蜜,	光澤,長效持妝,顯色,	https://pic.pimg.tw/styleme/1473066230-438653570.png
8671	kanebo_佳麗寶	酵素潔膚粉N		洗顏產品,	清潔,	https://pic.pimg.tw/styleme/1472806364-1559233814.jpg
8674	kanebo_佳麗寶	潔膚精油N		卸妝產品,	卸妝,保濕,	https://pic.pimg.tw/styleme/1472807415-2898476341.jpg
8677	kanebo_佳麗寶	皂霜N		洗顏產品,	清潔,保濕,清爽,不黏膩,	https://pic.pimg.tw/styleme/1472807688-569195246.jpg
8680	kanebo_佳麗寶	保濕晶露N( I )		化妝水,	保濕,	https://pic.pimg.tw/styleme/1472808184-832104296.jpg
8683	kanebo_佳麗寶	保濕晶乳N ( I )		乳液,	收斂毛孔,平滑膚觸,不黏膩,	https://pic.pimg.tw/styleme/1472808497-3586472398.jpg
8686	kanebo_佳麗寶	3D保濕面膜		保養面膜,	保濕,	https://pic.pimg.tw/styleme/1472808882-2766935180.jpg
8692	Smith_&_Cult	指甲油		指甲油,	光澤,	https://pic.pimg.tw/styleme/1473048357-1960316367.png
8695	Whoo_后	還幼全草甦醒安瓶	Hwanyu Signature Ampoule	精華液,	抗老,緊實,平滑膚觸,	https://pic.pimg.tw/styleme/1473047383-955882129.png
8698	GUERLAIN_嬌蘭	黑蘭鑽極萃乳霜		乳霜,	保濕,抗老,緊實,	https://pic.pimg.tw/styleme/1473235542-2026797014.png
8701	BIOTHERM_碧兒泉	男仕奇蹟活源緊膚精露	Force Supreme Life Essence	精華液,	保濕,緊實,	https://pic.pimg.tw/styleme/1473132635-3855376357.png
8704	GIVENCHY_紀梵希	賦活奇肌水		化妝水,	保濕,抗老,提升光澤,	https://pic.pimg.tw/styleme/1473141983-1544155000.jpg
8707	GIVENCHY_紀梵希	極緻修護眼霜		眼部保養,	緊實,抗皺,改善細紋,透亮,	https://pic.pimg.tw/styleme/1473142505-2287784743.jpg
8710	GIVENCHY_紀梵希	滋潤修護奇肌霜		乳霜,	滋潤,緊實,修護,不黏膩,	https://pic.pimg.tw/styleme/1473143537-3533013717.jpg
8713	shu_uemura_植村秀	炫色精萃潤唇膏		唇膏,	保濕,光澤,長效持妝,顯色,	https://pic.pimg.tw/styleme/1473154572-1258563306.png
8716		超進化肌因賦活眼膜		眼部保養,	滋潤,修護,美白,	https://pic.pimg.tw/styleme/1473155600-121605551.jpg
8719	YSL_聖羅蘭	逆齡肌密抗痕精華液		精華液,	滋潤,修護,	https://pic.pimg.tw/styleme/1473156533-4153363357.jpg
8722	YSL_聖羅蘭	逆齡肌密抗痕乳霜		乳霜,	抗老,	https://pic.pimg.tw/styleme/1473158322-1975334456.jpg
8725	YSL_聖羅蘭	逆齡肌密抗痕乳霜豐潤版		乳霜,	保濕,提升光澤,	https://pic.pimg.tw/styleme/1473159006-3846918401.jpg
8731	SOFINA_蘇菲娜	輕燦妝控油飾底乳SPF20/PA++	Alblanc Moist White Long Keep Base	妝前打底,	控油,修正膚色,防曬,	https://pic.pimg.tw/styleme/1473228794-333779825.jpg
8734	SOFINA_蘇菲娜	輕燦妝水潤飾底乳		妝前打底,	透亮,防曬,薄透,	https://pic.pimg.tw/styleme/1473229783-2036151662.png
8737	SOFINA_蘇菲娜	輕燦妝長效粉底液		粉底液,	修飾毛孔,透亮,長效持妝,服貼,防曬,	https://pic.pimg.tw/styleme/1473230114-3665602618.jpg
8740	SOFINA_蘇菲娜	輕燦妝無瑕粉餅		粉餅,	修正膚色,光澤,透亮,長效持妝,	https://pic.pimg.tw/styleme/1473230825-2212691648.jpg
8743	SOFINA_蘇菲娜	輕燦妝亮顏蜜粉		蜜粉,	透亮,長效持妝,薄透,	https://pic.pimg.tw/styleme/1473231475-655414987.png
8746	Dior_迪奧	密集煥顏精萃凝露		精華液,	緊實,修護,透亮,提升光澤,	https://pic.pimg.tw/styleme/1473317900-2720461476.jpg
8749	Dior_迪奧	精萃再生花蜜粉凝露		粉底液,	修正膚色,好推勻,	https://pic.pimg.tw/styleme/1473319075-2441809837.jpg
8752	Dior_迪奧	瞬效美肌飾底膏		遮瑕,	保濕,修正膚色,薄透,	https://pic.pimg.tw/styleme/1473320740-1310505120.jpg
